UAPI/Produce/AddQCRecord,A=1&YingDuOther=&BeiZhu=0&LiuHua=0&ZhenKong=0&SeFen=0&ColorMushi=1&LiJin2=&LiJin3=&LiJin1=&BeiZhuOther=&GuangZeMuShi=0&AoXian=0&WanQu=0&ShuiZhu=0&CheckId=FBF588C7-F206-463D-A7C3-010901559526&ShaLi=0&B=1&ChongJiOther=0&BiaoMianBuLiang=0&BeiTu=0&L=1&ChongJi=0&YaHeng=0&YingDu=0&JiaoHua=0&XieLiu=0&FuZhuoLi=0&FuZhuoLiOther=&APIVersion=999999999
UAPI/Produce/UpdateQCRecord,A=1&YingDuOther=&BeiZhu=0&LiuHua=0&YingDu=0&SeFen=0&ColorMushi=0&LiJin2=&LiJin3=&LiJin1=&BeiZhuOther=&GuangZeMuShi=0&AoXian=0&WanQu=0&ShuiZhu=0&CheckId=FBF588C7-F206-463D-A7C3-010901559526&ShaLi=0&B=1&ChongJiOther=0&BiaoMianBuLiang=0&BeiTu=0&L=1&ChongJi=0&YaHeng=0&ZhenKong=0&JiaoHua=0&XieLiu=0&FuZhuoLi=0&FuZhuoLiOther=&Id=794cfe97-3482-4c53-802c-acfc85c1e1b0&APIVersion=999999999
UAPI/Produce/GetQCRecord,CheckId=FBF588C7-F206-463D-A7C3-010901559526&APIVersion=999999999
UAPI/Produce/SignIn,signInUserId=6d3b5089-c2d3-4685-91fd-4bee68a8a881&padid=aaaaaaaaaaa&APIVersion=999999999
UAPI/Produce/ProductAdd,sku=&a=&b=&propertyids=&l=&discomplete=0&maxquantity=&model=&productid=&APIVersion=999999999
UAPI/Produce/ProductGetList,sku=&codeids=&pageindex=&propertyids=&productid=&APIVersion=999999999
UAPI/Produce/ProductPartialGetList,productid=&APIVersion=999999999
UAPI/Produce/PadUseCount,@padid=&APIVersion=999999999
UAPI/Produce/ProductDelete,productid=&APIVersion=999999999
UAPI/Produce/OrderAdd,unitkey=&orderid=&salesman=&issifting=&hopetime=&ordercode=&itemids=&dataroleid=&customer=&unitcode=&productid=&unitvalue=&orderdate=&unit=&quantity=&APIVersion=999999999
UAPI/Produce/OrderGetList,orderid=&status=&issifting=&keyword=&ordercode=&createman=0&isseft=0&starttime=&unitcode=&endtime=&APIVersion=999999999
UAPI/Produce/OrderReview,orderid=&APIVersion=999999999
UAPI/Produce/OrderSet,orderid=&status=&messageids=&memo=&messagetypeid=&files=&APIVersion=999999999
UAPI/Produce/OrderInit,APIVersion=999999999
UAPI/Produce/OrderManualSure,orderid=&quantities=&quantity=&APIVersion=999999999
UAPI/Produce/OrderSure,files=&messageids=&memo=&orderids=&messagetypeid=&quantity=&APIVersion=999999999
UAPI/Produce/FlowAdd,checkunitvalue=&title=&needcheck=&manualcheckcount=&flowid=&checkunitid=B21F3C2D-4B63-483D-81C7-159AFA6C839C&nonextflow=0&ismust=1&order=0&checkcounts=&APIVersion=999999999
UAPI/Produce/FlowToMessageAdd,flowid=&messagetypeid=1&messageids=561AB322-88C5-44F8-A242-0E6BEC5A32D6;&APIVersion=999999999
UAPI/Produce/FlowToMessageDel,flowtoMessageid=&APIVersion=999999999
